iter	Passed	Remaining
799	8096	2024
800	8103	2013
801	8110	2002
802	8117	1991
803	8124	1980
804	8131	1969
805	8137	1958
806	8144	1947
807	8150	1936
808	8157	1925
809	8164	1915
810	8171	1904
811	8178	1893
812	8185	1882
813	8191	1871
814	8199	1861
815	8207	1850
816	8215	1840
817	8222	1829
818	8229	1818
819	8236	1808
820	8243	1797
821	8250	1786
822	8257	1775
823	8264	1765
824	8270	1754
825	8277	1743
826	8284	1733
827	8291	1722
828	8300	1712
829	8307	1701
830	8315	1691
831	8322	1680
832	8329	1669
833	8336	1659
834	8343	1648
835	8350	1638
836	8357	1627
837	8364	1617
838	8371	1606
839	8378	1595
840	8385	1585
841	8392	1574
842	8399	1564
843	8406	1553
844	8413	1543
845	8422	1533
846	8429	1522
847	8437	1512
848	8444	1501
849	8455	1492
850	8463	1481
851	8471	1471
852	8485	1462
853	8495	1452
854	8503	1442
855	8510	1431
856	8517	1421
857	8524	1410
858	8530	1400
859	8537	1389
860	8544	1379
861	8551	1369
862	8558	1358
863	8565	1348
864	8572	1337
865	8580	1327
866	8588	1317
867	8596	1307
868	8603	1297
869	8610	1286
870	8617	1276
871	8624	1265
872	8635	1256
873	8643	1246
874	8650	1235
875	8657	1225
876	8664	1215
877	8671	1204
878	8678	1194
879	8685	1184
880	8692	1174
881	8699	1163
882	8706	1153
883	8714	1143
884	8721	1133
885	8728	1123
886	8735	1112
887	8742	1102
888	8749	1092
889	8756	1082
890	8763	1072
891	8770	1061
892	8777	1051
893	8784	1041
894	8791	1031
895	8798	1021
896	8805	1011
897	8811	1000
898	8818	990
899	8825	980
900	8832	970
901	8838	960
902	8846	950
903	8852	940
904	8859	930
905	8866	919
906	8874	909
907	8881	899
908	8888	889
909	8895	879
910	8901	869
911	8908	859
912	8915	849
913	8921	839
914	8928	829
915	8935	819
916	8942	809
917	8949	799
918	8955	789
919	8962	779
920	8968	769
921	8975	759
922	8982	749
923	8989	739
924	8995	729
925	9002	719
926	9009	709
927	9016	699
928	9025	689
929	9033	679
930	9039	669
931	9046	660
932	9053	650
933	9060	640
934	9066	630
935	9073	620
936	9079	610
937	9086	600
938	9093	590
939	9100	580
940	9107	571
941	9114	561
942	9120	551
943	9127	541
944	9134	531
945	9141	521
946	9150	512
947	9157	502
948	9164	492
949	9171	482
950	9177	472
951	9184	463
952	9191	453
953	9199	443
954	9205	433
955	9212	424
956	9220	414
957	9226	404
958	9234	394
959	9240	385
960	9247	375
961	9254	365
962	9261	355
963	9269	346
964	9278	336
965	9286	326
966	9294	317
967	9300	307
968	9307	297
969	9314	288
970	9321	278
971	9328	268
972	9335	259
973	9348	249
974	9357	239
975	9364	230
976	9371	220
977	9379	210
978	9386	201
979	9393	191
980	9400	182
981	9407	172
982	9415	162
983	9421	153
984	9428	143
985	9435	133
986	9445	124
987	9454	114
988	9463	105
989	9478	95
990	9487	86
991	9494	76
992	9500	66
993	9507	57
994	9514	47
995	9521	38
996	9528	28
997	9535	19
998	9542	9
999	9550	0
